,Name,rating,reviews,interviews,jobs,benefits,Photos
0,TCS,3.3,1.1L,11.8k,3.5k,10.6k,93
1,Accenture,3.7,72.6k,9.3k,27.9k,6.7k,49
2,Wipro,3.6,64.5k,6.8k,419,4.6k,107
3,Cognizant,3.7,60.7k,6.4k,460,5.5k,86
4,Capgemini,3.7,52.4k,5.5k,2.6k,3.7k,42
5,HDFC Bank,3.8,51.6k,3k,378,3.2k,86
6,Infosys,3.5,48.2k,8.4k,2.8k,4.8k,118
7,ICICI Bank,3.9,45.5k,2.9k,15,3.7k,73
8,HCLTech,3.4,45.4k,4.5k,267,3.8k,65
9,Tech Mahindra,3.4,42.9k,4.5k,620,3.4k,79
10,Genpact,3.6,41.6k,3.8k,894,3.5k,66
11,TP,3.8,37.7k,2.2k,2k,1.8k,38
12,Jio,4.4,33.5k,4.3k,1,2.5k,89
13,Axis Bank,3.6,32.8k,1.9k,230,2.1k,121
14,Concentrix Corporation,3.6,31.9k,2k,34,3.1k,66
15,Amazon,3.9,31.2k,5.9k,2.2k,3.6k,90
16,Reliance Retail,3.9,27.2k,1.9k,122,1.8k,137
17,iEnergizer,4.6,27.2k,1.4k,78,430,29
18,LTIMindtree,3.6,26.1k,3.4k,362,777,34
19,IBM,3.9,25.6k,2.6k,969,2.6k,23
20,HDB Financial Services,3.9,25.4k,1.1k,2.1k,1.5k,73
21,Larsen & Toubro Limited,3.9,23.6k,1.8k,95,2.5k,65
22,Deloitte,3.7,22.8k,3.3k,1.7k,2.4k,25
23,Kotak Mahindra Bank,3.6,22.2k,1.4k,148,1.3k,43
24,Reliance Industries,4.0,20.1k,1.6k,77,1.8k,38
25,Vodafone Idea,3.9,17.5k,686,67,2k,22
26,Bharti Airtel,3.8,17k,1.1k,193,1.6k,101
27,BYJU'S,3.2,16.4k,2.1k,1,1.7k,28
28,WNS,3.3,15k,1.2k,96,1.3k,24
29,IDFC FIRST Bank,3.9,14.3k,951,39,692,96
30,Ernst & Young,3.4,14.3k,1.3k,4.9k,1.1k,10
31,Tata Motors,4.1,14.1k,1.3k,160,1.6k,43
32,IndusInd Bank,3.4,14.1k,765,96,796,16
33,AU Small Finance Bank,3.9,14k,694,277,578,27
34,Muthoot FinCorp,4.6,13.1k,2.4k,29,275,103
35,Bajaj Finserv,4.0,12.9k,739,9,707,16
36,Flipkart,3.9,12.8k,1.7k,126,1.4k,104
37,PwC,3.3,12.4k,1.6k,1.1k,800,24
38,Mahindra & Mahindra,4.0,12k,858,2,1.2k,19
39,Infosys BPM,3.5,11.9k,1.1k,76,1.1k,8
40,HDFC Life,3.9,11.9k,797,102,613,55
41,DXC Technology,3.6,11.9k,897,202,1.1k,9
42,Bandhan Bank,3.7,10.9k,754,38,517,43
43,Digitide Solutions,3.5,10.2k,568,333,772,47
44,Mphasis,3.3,10.2k,927,50,845,132
45,Yes Bank,3.7,10.1k,552,180,608,18
46,Tata Steel,4.0,9.8k,1.1k,--,660,52
47,Quess,3.8,9.6k,539,45,440,22
